,도로명,lat,lon
0,원당로135번길 6,37.6645026,126.8379563
0,호국로777번길 11,37.655999,126.8340738
0,마상로57번길 114,37.6650388,126.8327107
0,원당로101번길 10,37.6629267,126.8347414
0,원당로135번길 52,37.6645026,126.8379563
0,마상로113번길 37,37.6622868,126.8375039
0,원당로113번길 68,37.6640117,126.8357886
0,원당로125번길 45,37.6639296,126.8369468
0,오부자로 14,37.6521037,126.9174157
0,지축로 55,37.6484333,126.9203397
0,오부자로 77,37.6452894,126.9212723
0,오부자로 15,37.6452894,126.9212723
0,토당로32번길 20,37.6199092,126.8228726
0,토당로32번길 11,37.6199092,126.8228726
0,지도로103번길 48,37.6249906,126.8224586
0,지도로103번길 61,37.6249906,126.8224586
0,능곡로 30-11,37.3917572,126.9142124
0,능곡로13번길 16,37.6225251,126.8201108
0,토당로 123,37.6263116,126.8157368
0,행당로11번길 16,37.6210498,126.8257505
0,행당로11번길 25-6,37.62115615,126.8259199
0,지도로103번길 17,37.6249906,126.8224586
0,능곡로45번길 91,37.6251763,126.8233174
0,행당로33번길 7-6,37.6216286,126.8309042
0,토당로162번길 14,37.6251346,126.8216427
0,능곡로13번길 15,37.6225251,126.8201108
0,토당로 93,37.6190633,126.8218378
0,충장로103번길 23,37.6216112,126.8318116
0,행신로143번길 107,37.6230244,126.8305948
0,무원로 41,37.6172438,126.8332606
0,용현로 20,37.6172279,126.834893
0,소원로 47,37.61362005,126.8295893
0,무원로 63,37.61790855,126.8287419
0,화신로 33,36.1591261,127.8126669
0,무원로 17,37.6172438,126.8332606
0,용현로 10,37.61413245,126.8369844
0,화신로 47,37.6169013,126.8369437
0,소원로 41,37.612865,126.8405488
0,화신로 76,36.117277,128.3537599
0,충장로 118-30,35.1529806,128.679332
0,충경로 156,35.8190653,127.1484349
0,서정로 19,37.0703321,127.0492441
0,소원로181번길 20,37.614398,126.8431992
0,서정마을로 46,37.6191942,126.8494461
0,화신로 36,36.117277,128.3537599
0,충경로 135,35.8190653,127.1484349
0,소원로181번길 15,37.614398,126.8431992
0,소원로 157,37.612865,126.8405488
0,소만로 19,37.6154897,126.8418857
0,충경로 142,35.8190653,127.1484349
0,소만로 49,37.6154897,126.8418857
0,충경로 149,35.8190653,127.1484349
0,충경로 138,35.8190653,127.1484349
0,소만로 48,37.6154897,126.8418857
0,충장로103번길 49,37.6216112,126.8318116
0,화신로 106,36.117277,128.3537599
0,행신로143번길 115,37.6230244,126.8305948
0,성신로 99,37.6277786,126.8307837
0,화신로 170,36.117277,128.3537599
0,충장로152번길 39,37.6246492,126.8376395
0,성신로 77,37.6277786,126.8307837
0,중앙로558번길 57,37.6257004,126.8375278
0,충장로152번길 40,37.6246492,126.8376395
0,화신로 105,36.117277,128.3537599
0,행신로143번길 54-8,37.6230244,126.8305948
0,행신로 131-11,37.6106471,126.8211748
0,행신로325번길 37-13,37.6240548,126.8450423
0,행당로 34-20,37.555654,127.024965
0,향기5로 66,37.6077213,126.8967635
0,향기로 30,37.6007459,126.8948042
0,향동1로 20,37.603907,126.8920902
0,향기2로 22,37.5931839,126.892392
0,향기로 25,37.6007459,126.8948042
0,향기로 77,37.6007459,126.8948042
0,화중로 222,37.6466807,126.8375428
0,화중로 219,37.629066,126.8292961
0,화수로 22,37.4827071,126.6333819
0,화중로 171,37.629066,126.8292961
0,백양로 65,37.6314827,126.833294
0,화정로 47,37.33173845,126.8179578
0,화신로 291,36.1591261,127.8126669
0,화신로 298,37.6325934,126.8291014
0,화신로 340,36.117277,128.3537599
0,화신로 311,36.117277,128.3537599
0,화중로 32-37,37.6301583,126.832343
0,백양로 64,37.562683,126.9375498
0,화신로 233,36.117277,128.3537599
0,백양로 15,37.562683,126.9375498
0,백양로 8,35.8119291,128.7575647
0,백양로 84,37.562683,126.9375498
0,백양로 27,37.562683,126.9375498
0,화중로 164,37.629066,126.8292961
0,백양로 126,37.6345886,126.8354456
0,화정로 27,35.1453053,126.8742819
0,화정로 69,37.3315849,126.8204828
0,강송로 196,37.6483805,126.7879863
0,강석로 110,37.649526,126.7812088
0,강송로 153,37.6483805,126.7879863
0,강석로 152,37.6531407,126.779601
0,강송로 195,37.654764,126.7827365
0,강송로 156,37.65349885,126.7870891
0,중앙로 1130,36.6527935,127.4876506
0,일산로 205,37.65337285,126.7877848
0,일산로 206,37.6490894,126.7932673
0,일산로 242,37.6490894,126.7932673
0,일산로 241,37.6490894,126.7932673
0,경의로 333,37.6587512,126.789907
0,강촌로 191,37.7945757,127.6413688
0,백석로 119,37.650097,126.7912578
0,강촌로 192,37.7945757,127.6413688
0,강촌로 166,37.7945757,127.6413688
0,강촌로 146,37.7945757,127.6413688
0,강촌로 114,37.7945757,127.6413688
0,백석로 151,35.8698383,127.1360261
0,백석로 109,35.8698383,127.1360261
0,백석로 175,35.8698383,127.1360261
0,강송로 33,37.6421823,126.7925586
0,백석로 26,35.8698383,127.1360261
0,중앙로 1124,36.6527935,127.4876506
0,일산로 11,37.3497534,127.9464935
0,중앙로 1123,36.8156446,127.1539926
0,공릉천로 68,37.7142764,126.8419728
0,공릉천로 64,37.7142764,126.8419728
0,공릉천로 66,37.7142764,126.8419728
0,성현로 508,37.4930021,126.9455286
0,고봉로658번길 63,37.7143846,126.7903363
0,은행마을로 100,37.6668265,126.8064098
0,위시티4로 79,37.6814865,126.8131488
0,위시티1로 7,37.6745073,126.8078664
0,위시티4로 80,37.6814865,126.8131488
0,위시티4로 46,37.6814865,126.8131488
0,위시티4로 45,37.6814865,126.8131488
0,위시티2로11번길 45,37.6768171,126.8131627
0,위시티2로11번길 11,37.6768171,126.8131627
0,은행마을로 62,37.6668265,126.8064098
0,태극로 8,37.6616626,126.7527804
0,월드고양로 19,37.6565762,126.7563638
0,월드고양로 21,37.6565762,126.7563638
0,중앙로 1129,36.6527935,127.4876506
0,노루목로 79,37.6481745,126.7706868
0,노루목로 80,37.6481745,126.7706868
0,노루목로 99,37.6481745,126.7706868
0,노루목로 100,37.64800495,126.7786381
0,연리지로 50,37.6601331,126.7563696
0,중산로 160-10,37.6800035,126.7817763
0,고봉로278번길 17,37.6832911,126.7787395
0,하늘마을로 76,37.680506,126.7744328
0,중산로 70,37.5051212,126.5614102
0,탄중로 430,37.6921064,126.7559213
0,탄중로 385,37.6921064,126.7559213
0,탄중로 403,37.6921064,126.7559213
0,고봉로 424,37.7439588,126.8086239
0,고봉로 422,37.6956797,126.7799181
0,중산로 260,37.5051212,126.5614102
0,탄중로 343,37.69228875,126.7843185
0,탄중로 346,37.6921064,126.7559213
0,탄중로 344,37.6921064,126.7559213
0,중산로 206,37.5051212,126.5614102
0,탄중로 398,37.6921064,126.7559213
0,탄중로 416,37.6921064,126.7559213
0,하늘마을로 94,37.680506,126.7744328
0,하늘마을1로 25,37.678043,126.7867751
0,고일로 171,37.6652505,126.8022033
0,고풍로 44-25,37.6634231,126.7963458
0,고풍로 44-46,37.6634231,126.7963458
0,고풍로 72-11,37.6634231,126.7963458
0,숲속마을로 68,37.6671875,126.7985079
0,숲속마을1로 116,37.6631641,126.8003945
0,숲속마을1로 55,37.6631641,126.8003945
0,숲속마을로 65,37.6671875,126.7985079
0,숲속마을1로 87,37.6631641,126.8003945
0,숲속마을1로 115,37.6631641,126.8003945
0,숲속마을로 195,37.6671875,126.7985079
0,애니골길 7-27,37.6712564,126.7910636
0,은행마을로 16,37.6668265,126.8064098
0,고풍로 72-41,37.6634231,126.7963458
0,고풍로 20,37.6634231,126.7963458
0,가좌4로 29,37.6855696,126.7179719
0,가좌3로 45,37.6883498,126.718137
0,가좌2로 53,37.6895448,126.7208282
0,가좌1로 10,37.6885365,126.7197635
0,가좌2로 22,37.6895448,126.7208282
0,송포로 207,37.6898069,126.725233
0,대화1로 51,37.6715232,126.731472
0,대화2로 68,37.6731508,126.7301138
0,대산로 249,37.6898552,126.7367711
0,대산로 263,37.6898552,126.7367711
0,강성로 270,37.6645386,126.770639
0,강성로 256,37.6645386,126.770639
0,일산로 808,37.6490894,126.7932673
0,일산로 790,37.6490894,126.7932673
0,호수로 898,37.6270293,126.8007927
0,주화로 211,37.6734754,126.7511152
0,킨텍스로 240,37.6665471,126.75003
0,고양대로255번길 46,37.6692261,126.7357163
0,고양대로255번길 45,37.6692261,126.7357163
0,대화1로 70,37.6715232,126.731472
0,대화1로 21,37.6715232,126.731472
0,대화2로 121,37.6731508,126.7301138
0,덕이로 281-9,37.2327081,127.3712131
0,덕산로 282,37.5443049,127.1923396
0,탄중로101번길 60,37.6949695,126.7557335
0,덕이로 238,37.6901314,126.7544024
0,경의로 867,37.6952871,126.7586835
0,탄중로101번길 36,37.6949695,126.7557335
0,하이파크로 113,37.7021938,126.7504424
0,하이파크3로 62,37.6970904,126.7529063
0,하이파크3로 111,37.6970904,126.7529063
0,하이파크2로59번길 7,37.7010794,126.7558745
0,하이파크3로 61,37.6970904,126.7529063
0,산현로 34,37.6911157,126.7697228
0,일청로 92,37.6887577,126.7734449
0,탄중로471번길 19,37.6868287,126.7731773
0,일중로 87-5,37.6810945,126.7745887
0,산현로92번길 43,37.6908174,126.7717939
0,일청로65번길 28,37.6898284,126.772314
0,일청로59번길 37,37.689614,126.7712345
0,산현로92번길 42,37.6908174,126.7717939
0,일청로65번길 50,37.6898284,126.772314
0,고양대로 719-12,37.6481091,126.8725328
0,고양대로 724-17,37.6481091,126.8725328
0,일중로 30,35.5535789,129.2836942
0,일중로 107,35.5535789,129.2836942
0,탄중로471번길 5,37.6868287,126.7731773
0,고봉로329번길 50,37.6889036,126.7754848
0,일현로 8,37.6960252,126.7643255
0,원일로 3,37.687183,126.7656605
0,탄중로 518,37.6921064,126.7559213
0,탄중로 523,37.6921064,126.7559213
0,고양대로 648,37.68488735,126.7680491
0,일중로15번길 128,37.6813456,126.7737198
0,고양대로 685,37.6481091,126.8725328
0,고양대로 706-12,37.6481091,126.8725328
0,일청로 45,37.6887577,126.7734449
0,고양대로 620,37.6481091,126.8725328
0,고양대로 596,37.6481091,126.8725328
0,탄중로 501,37.6921064,126.7559213
0,고양대로 633,37.6481091,126.8725328
0,고봉로329번길 34,37.6889036,126.7754848
0,고봉로329번길 28-6,37.6889036,126.7754848
0,원일로 117,37.687183,126.7656605
0,고봉로 351-17,37.7439588,126.8086239
0,탄중로 447,37.6921064,126.7559213
0,고봉로329번길 6,37.6889036,126.7754848
0,고봉로329번길 5,37.6889036,126.7754848
0,탄중로471번길 18,37.6868287,126.7731773
0,원일로21번길 43,37.688259,126.7646965
0,원일로21번길 21,37.6873495,126.7643919
0,원일로21번길 22,37.688259,126.7646965
